,Unnamed: 0,winery,region_2,country,price,Latitude,Longitude,City,Temperature
0,2415,Pam's Cuties,California Other,US,4.0,39.3565832,-120.1821578,truckee,69.8
1,2040,Mancan,California Other,US,5.0,39.3565832,-120.1821578,truckee,69.8
2,1068,Earth's Harvest,California Other,US,5.0,39.3565832,-120.1821578,truckee,69.8
3,1260,Fox Brook,California Other,US,6.0,39.3565832,-120.1821578,truckee,69.8
4,3694,flipflop,California Other,US,7.0,39.3565832,-120.1821578,truckee,69.8
5,953,Delicato,California Other,US,7.0,39.3565832,-120.1821578,truckee,69.8
6,833,Coyote Creek,California Other,US,7.0,39.3565832,-120.1821578,truckee,69.8
7,524,CK Mondavi,California Other,US,7.0,39.3565832,-120.1821578,truckee,69.8
8,498,Bully Hill,New York Other,US,7.0,40.7281128,-73.99339,new york,63.0
9,3375,Turning Leaf,California Other,US,7.8,39.3565832,-120.1821578,truckee,69.8
10,268,Barefoot,California Other,US,7.857142857142858,39.3565832,-120.1821578,truckee,69.8
11,3633,Woodbridge by Robert Mondavi,California Other,US,8.0,39.3565832,-120.1821578,truckee,69.8
12,3379,Twisted,California Other,US,8.0,39.3565832,-120.1821578,truckee,69.8
13,3248,The Original Dark Horse,California Other,US,8.0,39.3565832,-120.1821578,truckee,69.8
14,3114,Stone Creek,California Other,US,8.0,39.3565832,-120.1821578,truckee,69.8
15,2765,Round Hill,California Other,US,8.0,39.3565832,-120.1821578,truckee,69.8
16,2661,Redwood Creek,Central Valley,US,8.0,38.0,-121.4,country club,84.99
17,2543,Pontin del Roza,Columbia Valley,US,8.0,34.000749299999995,-81.03433129999999,columbia,66.2
18,1420,HRM Rex Goliath,Central Coast,US,8.0,-33.3117096,151.3120675,cessnock,72.0
19,2325,Oak Grove,California Other,US,8.162162162162161,39.3565832,-120.1821578,truckee,69.8
20,1446,Hargrave,Long Island,US,8.5,40.8517224,-73.0992188,centereach,60.01
21,803,Corbett Canyon,California Other,US,8.5,39.3565832,-120.1821578,truckee,69.8
22,2658,Red Truck,California Other,US,9.0,39.3565832,-120.1821578,truckee,69.8
23,2519,Pink Truck,California Other,US,9.0,39.3565832,-120.1821578,truckee,69.8
24,2111,McDowell,California Other,US,9.0,39.3565832,-120.1821578,truckee,69.8
25,2025,Maggio,Central Valley,US,9.0,38.0,-121.4,country club,84.99
26,1698,Joliesse,California Other,US,9.0,39.3565832,-120.1821578,truckee,69.8
27,297,Baywood,California Other,US,9.0,39.3565832,-120.1821578,truckee,69.8
28,130,Ancient Roots,California Other,US,9.0,39.3565832,-120.1821578,truckee,69.8
29,3118,StoneCap,Columbia Valley,US,9.3125,34.000749299999995,-81.03433129999999,columbia,66.2
30,106,Ambition,New York Other,US,9.333333333333334,40.7281128,-73.99339,new york,63.0
31,1350,Glen Ellen,California Other,US,9.35,39.3565832,-120.1821578,truckee,69.8
32,2421,Paradise Peak,Washington Other,US,9.5,41.665744000000004,-70.141765,south yarmouth,53.01
33,1684,Jenica Peak,California Other,US,9.571428571428571,39.3565832,-120.1821578,truckee,69.8
34,270,Barefoot Cellars,Sonoma,US,9.666666666666666,38.511080299999996,-122.8473388,windsor,51.8
35,78,Alias,California Other,US,9.666666666666666,39.3565832,-120.1821578,truckee,69.8
36,3523,Washington Hills,Columbia Valley,US,9.846153846153848,34.000749299999995,-81.03433129999999,columbia,66.2
37,3699,un4seen,California Other,US,10.0,39.3565832,-120.1821578,truckee,69.8
38,3573,Wild Hare,California Other,US,10.0,39.3565832,-120.1821578,truckee,69.8
39,3315,Totally Random,California Other,US,10.0,39.3565832,-120.1821578,truckee,69.8
40,3185,Tamás,Central Coast,US,10.0,-33.3117096,151.3120675,cessnock,72.0
41,3001,Smoking Loon,California Other,US,10.0,39.3565832,-120.1821578,truckee,69.8
42,2926,Shark Trust,California Other,US,10.0,39.3565832,-120.1821578,truckee,69.8
43,2735,Rock Point,Oregon Other,US,10.0,45.562540399999996,-122.66652959999999,portland,69.01
44,2313,Novella,Central Coast,US,10.0,-33.3117096,151.3120675,cessnock,72.0
45,2261,Napa Family Vineyards,Napa,US,10.0,38.2971367,-122.28552930000001,napa,79.0
